브랜드,의류코드,리뷰,별점,작성일
무신사스탠다드,2028327,스판끼가 일단 하나도 없긴한데...<br>쪼그려 앉다가 바지가 찢어지지 뭡니까...<br>청바지가 찢어지는건 처음 보았습니다. 확실히 재질에선 별로인거같아요.,1,22.12.11
무신사스탠다드,2028327,단추가 가운데로 와야하는거 아닌가요?<br>여행때 입으려고 주문한건데 시간없어서 그냥 세탁소 수선해서 입었어요<br>대충만들어도 너무하네요,1,22.10.27
무신사스탠다드,2028327,바지 핏좋고 다좋은데 저는 입으니깐 무릎에 뭐가 나네요 알레르기처럼 그래서 못입을거같네요,1,22.09.28
무신사스탠다드,2028327,박음질도 잘안되어있고 찍힌자국도 조금 있네요. 이가격에 고품질 기대는 안했는데 너무하네요; 택뜯고 나중에<br>발견해서 교환도안해준다하고참..,1,22.07.05
무신사스탠다드,2028327,박음질도 잘안되어있고 찍힌자국도 조금 있네요. 이가격에 고품질 기대는 안했는데 너무하네요; 택뜯고 나중에<br>발견해서 교환도안해준다하고참..,1,22.07.05
무신사스탠다드,2028327,박음질도 잘안되어있고 찍힌자국도 조금 있네요. 이가격에 고품질 기대는 안했는데 너무하네요; 택뜯고 나중에<br>발견해서 교환도안해준다하고참..,1,22.07.05
무신사스탠다드,2028327,교환했는데 사용감이 있는건지 주머니에 모래가 잔뜩이네요 옷은 이쁜데 어떤 제품을 준건지…이것말곤 맘에<br>드네요,1,22.06.06
무신사스탠다드,2028327,옷이 너무 약해요 운전하다가 차에서 내리는데 그냥 찢어져 버리네요... 얼마나 당황했는지 몰라요,1,21.11.06
무신사스탠다드,2028327,그냥 무릎 나오기 전까지 한철 입기에는 나쁘지 않은 것 같아요,1,21.08.30
무신사스탠다드,2028327,그냥 뭐 할인 받으면 그냥 저냥 입을만 한 것 같아요,1,21.08.28
무신사스탠다드,2028327,무신사 스탠다드 배송이 너무너무너무너무 늦어요,1,21.08.28
무신사스탠다드,2028327,다 좋은데 허리가 너무 작아요<br>남자 치고 허리 얇은 편인데도 엄청나네요.....더보기,2,3일 전
무신사스탠다드,2028327,그냥 무릎 나오기 전까지 한철 입기에는 나쁘지 않은 것 같아요,1,21.08.30
무신사스탠다드,2028327,그냥 뭐 할인 받으면 그냥 저냥 입을만 한 것 같아요,1,21.08.28
무신사스탠다드,2028327,무신사 스탠다드 배송이 너무너무너무너무 늦어요,1,21.08.28
무신사스탠다드,2028327,다 좋은데 허리가 너무 작아요<br>남자 치고 허리 얇은 편인데도 엄청나네요.....더보기,2,3일 전
무신사스탠다드,2028327,레귤러임데 생각보다 더 딱 붙음 다시 산다면 딴거 살듯,2,24.09.24
무신사스탠다드,2028327,실측이랑 기장이 달라버리네요 많이 짧다 싶었는데 너무 늦게 측정해봐서 걍 입을게요,2,24.08.26
무신사스탠다드,2028327,실측 보다 2cm 작아요 똑같은 바지 색상만 다른걸로 2벌 31사이즈 실측 41나오는데 이번에 구매한거는 실측<br>직접 재보니 39나옴 너무 작음 무탠제품 구매하면 항상 같은 사이즈마다 실측 오차 심하던데 똑같은 사이즈도<br>뽑기를 해야되는건가ㅋㅋ,2,24.08.07
무신사스탠다드,2028327,제 스타일은 아닌 듯 합니다.. 차라리 와이드가 낫겠네요,2,24.07.06
무신사스탠다드,2028327,허리가 큰편입니다<br>전체적으로는 무난하지만 좋지도 않아요<br>막입는 용으로 하나 있으면 입을 수준...더보기,2,24.04.11
무신사스탠다드,2028327,같은 바지로 두번째사는건데 길이가 짧음;;;; 키클 나이도 아닌데 왜 길이가 다를까요…?,2,24.01.24
무신사스탠다드,2028327,화면그래로색상입니다살짝아쉬운청바지네요,2,23.11.28
무신사스탠다드,2028327,통은 넓은데 허벅지 및 허리사이즈가 타이트해서<br>불편함,2,23.11.17
무신사스탠다드,2028327,솔직히 제품 퀄리티에 비해 지나치게 거품이 있음.,2,23.08.15
무신사스탠다드,2028327,"31~32는 허리나 핏은 맞는데, 기장이 너무 짧네요. 기장 좀 길게 나오면 좋을 것 같아요.",2,23.08.13
무신사스탠다드,2028327,같은 바지로 두번째사는건데 길이가 짧음;;;; 키클 나이도 아닌데 왜 길이가 다를까요…?,2,24.01.24
무신사스탠다드,2028327,화면그래로색상입니다살짝아쉬운청바지네요,2,23.11.28
무신사스탠다드,2028327,통은 넓은데 허벅지 및 허리사이즈가 타이트해서<br>불편함,2,23.11.17
무신사스탠다드,2028327,솔직히 제품 퀄리티에 비해 지나치게 거품이 있음.,2,23.08.15
무신사스탠다드,2028327,"31~32는 허리나 핏은 맞는데, 기장이 너무 짧네요. 기장 좀 길게 나오면 좋을 것 같아요.",2,23.08.13
무신사스탠다드,2028327,"31~32는 허리나 핏은 맞는데, 기장이 너무 짧네요. 기장 좀 길게 나오면 좋을 것 같아요.",2,23.08.13
무신사스탠다드,2028327,"31~32는 허리나 핏은 맞는데, 기장이 너무 짧네요. 기장 좀 길게 나오면 좋을 것 같아요.",2,23.08.13
무신사스탠다드,2028327,정말 무신사 스텐다드한테 실망했습니다<br>좋은 다른 브랜드 참고해서 옷 제작하면 좋을 것 같네요,2,23.06.02
무신사스탠다드,2028327,진짜 옷 만들줄 모르는 사람이 만든 옷입니다<br>스트레이트 핏 아니고... 스트레이트 핏을 만들면서 왜이렇게 짧게 다자인한지 이해가 안됩니다<br>어정쩡한 길이에 바지도 빨리 늘어나서 차라리 돈 더주고 좋은 옷 사세요 최악입니다,2,23.06.02
무신사스탠다드,2028327,별로ㅔㅇ요 진짜 너무 밝아요 사지마세요 그냥 너무 발강요,2,23.05.30
무신사스탠다드,2028327,도톰하고 사이즈도 적당하니 입기 딱 좋습니다 꺄악,2,23.04.24
무신사스탠다드,2028327,"생각보다 총 기장이 짧습니다. 스니커즈와 함께는 좋지만 기장이 짧아 로퍼, 첼시부츠엔 어려움이 있네요",2,23.04.10
무신사스탠다드,2028327,"생각보다 총 기장이 짧습니다. 스니커즈와 함께는 좋지만 기장이 짧아 로퍼, 첼시부츠엔 어려움이 있네요",2,23.04.10
무신사스탠다드,2028327,평범합니다 일반적이에요 가성비가 대박이여서 사셔도 후회는 없을 것 같아요,2,23.02.26
무신사스탠다드,2028327,이 바지도 너무 커서 혁대매도 못입을 정도라 세탁소 가서 따로 사비내서 줄였네요;;,2,23.02.14
무신사스탠다드,2028327,별로ㅔㅇ요 진짜 너무 밝아요 사지마세요 그냥 너무 발강요,2,23.05.30
무신사스탠다드,2028327,도톰하고 사이즈도 적당하니 입기 딱 좋습니다 꺄악,2,23.04.24
무신사스탠다드,2028327,"생각보다 총 기장이 짧습니다. 스니커즈와 함께는 좋지만 기장이 짧아 로퍼, 첼시부츠엔 어려움이 있네요",2,23.04.10
