브랜드,의류코드,리뷰,별점,작성일
무신사스탠다드,2028327,핏이 좋아요. 허리를 28로 해도 괜찮았을 것 같은데 28로 하면 허벅지랑 엉덩이가 맞지 않았을 것 같네요.,5,22.08.14
무신사스탠다드,2028327,기장이 좀 짧긴한데 딱 적당하고 좋네요,5,22.06.10
무신사스탠다드,2028327,원단 탄탄하고 핏좋고 활용도 좋습니다! 다만 사이즈에 비해 기장이 살짝 애매한 감은 있어요! 다들 참고하세요~~,5,22.04.13
무신사스탠다드,2028327,세미와이드? 그런핏으로 생각하고 구매하면 될거에요,5,22.04.06
무신사스탠다드,2028327,전체적으로 무난무난,3,24.04.09
무신사스탠다드,2028327,배송 빠르고 정말 좋습니다 제품도 최고라서 너무 즇아요,5,24.02.01
무신사스탠다드,2028327,무신사 스탠다드 진짜 기본바지라 사라고들해서 샀는데 그 기본이 너무 잘 되어있으니까 바지가 너무 예뻐요! 바지,5,23.12.04
무신사스탠다드,2028327,"왜 인기많은 제품인지 알겠습니다... 핏 ,색감 모든게 갓벽합니다. 추가적으로 다른색상 구매예정입니당",5,23.12.02
무신사스탠다드,2028327,확실히 라이트 인디고라 그런지 개봉하자마자 다른 청바지들보다 딱 적절하게 밝은 느낌을 주는 청바지였어요!,5,23.11.18
무신사스탠다드,2028327,확실히 라이트 인디고라 그런지 개봉하자마자 다른 청바지들보다 딱 적절하게 밝은 느낌을 주는 청바지였어요!,5,23.11.18
무신사스탠다드,2028327,색깔이뻐요 근데 밑잔이 좀 아쉽고 저하텐 좀짧아요 ..다리 긴편이라..,5,23.10.27
무신사스탠다드,2028327,딱 맞고 핏 적당하고 사진과 색 비슷합니다. 한여름 제외하고 계절 상관없이 입을 수 있을 것 같습니다.,5,23.08.20
무신사스탠다드,2028327,운동을 해서 하체가 두꺼워서 사이즈 30으로 주문 했는데,4,23.07.16
무신사스탠다드,2028327,핏 떨어지는게 이쁘긴한데 생각이상으로 밑위가좀 작네용..,5,23.06.26
무신사스탠다드,2028327,요즘입기는 좀 더운데 색깔 핏 마음에 들어요 추천,5,23.06.23
무신사스탠다드,2028327,가격이 되게 저렴해서 부담없이 입을수 있었고 무난하게 잘 입었습니다,5,23.06.20
무신사스탠다드,2028327,원단도 좋고 마감도 잘돼 있고 스타일도 좋아서 너무 좋네요,5,23.06.12
무신사스탠다드,2028327,"색감 너무 좋고, 청바지 답지않게 편해서 자주 입어요 ㅎ",5,23.05.19
무신사스탠다드,2028327,"사이즈는 딱 맞는데, 완전 일자핏이라 당황했습니다 ㅋㅋ",4,23.05.01
무신사스탠다드,2028327,배송은 항상 빠르게 오고 받자마자 입었는데 너무 이쁘네요.,5,23.04.06
무신사스탠다드,2028327,배송은 항상 빠르게 오고 받자마자 입었는데 너무 이쁘네요.,5,23.04.06
무신사스탠다드,2028327,사이즈표에서 허벅지 사이즈보고 시켰는데 생각보다 크게 나온 것 같아요 그래도 색이랑 길이도 편하게 막 입기,5,23.01.26
무신사스탠다드,2028327,"가격대비 제품 꽤 괜찮았고, 제품 색상도 괜찮아요",4,23.01.12
무신사스탠다드,2028327,스트레이트라 핏이 좋고 색감이 정말 마음에 듭니다,5,23.01.08
무신사스탠다드,2028327,허리때문에 30을 샀는데 기장만 수선하면 예쁠거 같아요!,4,23.01.03
무신사스탠다드,2028327,인생 청바지입니다~~ 색과 핏 모두 마음에 들어요. 추천합니다~,5,22.10.15
무신사스탠다드,2028327,제가입으려다 레귤러핏이더맞아서 와이프줬는데 적당한레귤러핏으로 잘맞았어요~,4,22.10.12
무신사스탠다드,2028327,그냥 기본 템으로 좋아요 몇개 더 사놔도 괜찮을것 같아요,5,22.09.10
무신사스탠다드,2028327,기장이 아주 조금 짧은거 빼고는 모두 맘에듭니다.,5,22.09.06
무신사스탠다드,2028327,핏하게 맞길래 좋아요 했는데 1시간 앉아잇으면 늘어나버리네요 아쉽,5,22.08.30
무신사스탠다드,2028327,"허리는 조금 남지만, 길이가 딱 제가 원하던 길이라 좋았습니다. 색이 아주 예쁘게 나왔습니다.",5,22.08.23
무신사스탠다드,2028327,사이즈도 좋고 핏도 좋은거 같습니다 만족합니다,5,22.07.07
무신사스탠다드,2028327,청바지 치고는 두께가 두껍지 않아서 한여름이 아니고서는 입을만 합니다 대신 그만큼 흐물거리는 감이 있어서,5,22.06.28
무신사스탠다드,2028327,상품이 퀄리티가 괜찮아요 좋아요 다음에 또 사야겠어요,4,22.06.26
무신사스탠다드,2028327,배송빠르고 만족합니다. 너무 오버하지 않고 딱 적당해요,5,22.06.20
무신사스탠다드,2028327,모든 사이즈가 딱맞아서 좋아요,5,22.06.04
무신사스탠다드,2028327,기장을 줄였는데 통도 같이 줄여야 할거같습니다.,5,22.06.03
무신사스탠다드,2028327,내가 입을려고 샀는데...여친이 자기가 더 맘에 들고 잘 어울린다고 뺐겼네요..,5,22.04.27
무신사스탠다드,2028327,기장과 핏까지 너무 마음에 듭니다~!,5,22.04.17
무신사스탠다드,2028327,기장도 딱이고 무엇보다 사이즈가 다양하게 나와서 좋습니다,5,22.04.13
무신사스탠다드,2028327,핏 기장 와이드함 빠지는게 없습니다 너무 만족합니다 !!,5,22.04.07
무신사스탠다드,2028327,허리가 생각보다 위에 잡혀요 통은 딱 적당한 스트레이트 입니다.두꺼워서 여름은 안될것같아요,5,22.04.02
무신사스탠다드,2028327,바지라인이랑 핏감이 끝네줘요 통이 커 여유도 있습니다. 다만 스판소재가 아니라서 딱 맞게 입으시면 앉을 때,5,21.09.05
무신사스탠다드,2028327,그냥 무난하게 입을 수 있는 바지입니당 사진을 못찍어서 그렇지 실제로 보면 이뻐용,5,21.09.04
